I_ITEM_SK,I_ITEM_ID,I_ITEM_DESC,I_CURRENT_PRICE,I_WHOLESALE_COST,I_CLASS_ID,I_CLASS,I_CATEGORY_ID,I_CATEGORY,I_MANUFACT_ID,I_MANUFACT,I_SIZE,I_COLOR,I_UNITS,I_CONTAINER,I_PRODUCT_NAME
167069,AAAAAAAAMJMICAAA,"Important days would talk; leading results used to produce to the wings. Far lives must race inland old children. Direct programmes can find",1.33,0.43,8,accessories,2,Men,448,eingeing,petite,sienna,Cup,Unknown,"n stcallybarationcallyought"
167070,AAAAAAAAMJMICAAA,"Familiar relationships establish likely patients; indu",2.31,0.99,4,swimwear,1,Women,448,eingeing,"extra large",sky,Lb,Unknown,"barationbarationcallyought"
167071,AAAAAAAAPJMICAAA,"Products appear international kinds; home substantial scientists must own also. Just difficult procedures shall drive other days; often special types decide. I",5.48,2.41,3,kids,4,Shoes,658,eingantically,N/A,tomato,Tsp,Unknown,"oughtationbarationcallyought"
167072,AAAAAAAAAKMICAAA,"Little working terms would not provide neither at a years; so rural thanks can afford. Much main arts will progress events. Years shall not help cases. Available studies must fin",65.65,42.01,4,audio,10,Electronics,48,eingese,N/A,turquoise,Lb,Unknown,"ableationbarationcallyought"
167073,AAAAAAAAAKMICAAA,"Authorities open very for the discussions. Isolated inc records cannot hear with a decades. Environmental guidelines make just tall rows. Services may not recover wonderfully new ",6.42,42.01,4,classical,5,Music,48,eingese,N/A,dodger,Oz,Unknown,"priationbarationcallyought"
167074,AAAAAAAACKMICAAA,"Foreign big acids should finish more to a tanks. Famous allowances see proposals; specialist workers could include much natural modes. Alone new animals will execute ",0.66,0.19,15,tables,7,Home,115,antioughtought,N/A,mint,Cup,Unknown,"eseationbarationcallyought"
167075,AAAAAAAACKMICAAA,"Houses might begin views. Clear relatives strengthen machi",3.31,2.41,15,sports-apparel,2,Men,212,antioughtought,medium,plum,Box,Unknown,"antiationbarationcallyought"
167076,AAAAAAAACKMICAAA,"Houses might begin views. Clear relatives strengthen machi",3.84,2.41,3,pop,5,Music,212,ableoughtable,N/A,red,Gram,Unknown,"callyationbarationcallyought"
167077,AAAAAAAAFKMICAAA,"Capital sites can vote no doubt meetings; special small issues go. Aware links shall lie then. Women will calculate still today double teachers. Presumab",8.98,3.86,2,country,5,Music,283,prieingable,N/A,honeydew,Gram,Unknown,"ationationbarationcallyought"
167078,AAAAAAAAGKMICAAA,"Short likely materials will cover sure english close cattle; old trees question just scientific institutions. Unfortunately political pass",0.33,0.25,1,rock,5,Music,162,ablecallyought,N/A,papaya,Box,Unknown,"eingationbarationcallyought"
